,SPY,GLD,AGG,DBC
2006-01-03,86.78541564941406,53.119998931884766,52.404571533203125,
2006-01-04,87.19637298583984,53.29999923706055,52.529571533203125,
2006-01-05,87.25115966796875,52.34000015258789,52.529571533203125,
2006-01-06,87.9772720336914,53.720001220703125,52.40980529785156,
2006-01-09,88.20327758789062,54.599998474121094,52.46708679199219,
2006-01-10,88.2923355102539,54.060001373291016,52.362937927246094,
2006-01-11,88.57318115234375,54.529998779296875,52.326473236083984,
2006-01-12,88.22386932373047,54.43000030517578,52.46188735961914,
2006-01-13,88.14165496826172,55.439998626708984,52.607696533203125,
2006-01-17,87.90189361572266,55.2599983215332,52.633766174316406,
2006-01-18,87.5525894165039,54.06999969482422,52.696231842041016,
2006-01-19,87.88819885253906,55.59000015258789,52.61808776855469,
2006-01-20,86.28539276123047,55.20000076293945,52.64411163330078,
2006-01-23,86.5936279296875,55.77000045776367,52.64411163330078,
2006-01-24,86.68267822265625,55.72999954223633,52.5556526184082,
2006-01-25,86.75801086425781,56.13999938964844,52.425437927246094,
2006-01-26,87.23751068115234,55.880001068115234,52.26399612426758,
2006-01-27,88.04574584960938,55.630001068115234,52.33169937133789,
2006-01-30,87.9772720336914,56.68000030517578,52.33690643310547,
2006-01-31,87.33338165283203,56.70000076293945,52.34730911254883,
2006-02-01,87.9429931640625,56.70000076293945,52.20151138305664,
2006-02-02,86.92240905761719,56.97999954223633,52.23808288574219,
2006-02-03,86.49089813232422,56.5,52.384429931640625,
2006-02-06,86.71688842773438,56.720001220703125,52.37398147583008,19.185094833374023
2006-02-07,85.94977569580078,54.599998474121094,52.337398529052734,18.630159378051758
2006-02-08,86.73062896728516,54.83000183105469,52.311256408691406,18.550878524780273
2006-02-09,86.58677673339844,56.18000030517578,52.342628479003906,18.72528839111328
2006-02-10,86.74429321289062,54.790000915527344,52.23286437988281,18.384397506713867
2006-02-13,86.58677673339844,53.720001220703125,52.269474029541016,18.0989990234375
2006-02-14,87.50467681884766,54.4900016784668,52.18583297729492,17.9483699798584
2006-02-15,87.8128662109375,53.7599983215332,52.243343353271484,17.686758041381836
2006-02-16,88.4704360961914,54.52000045776367,52.19109344482422,17.90080451965332
2006-02-17,88.230712890625,54.959999084472656,52.40533447265625,18.15449333190918
2006-02-21,88.01151275634766,55.119998931884766,52.21194076538086,18.455747604370117
2006-02-22,88.5457763671875,55.34000015258789,52.4210319519043,18.15449333190918
2006-02-23,88.4156265258789,54.63999938964844,52.3896598815918,18.0910701751709
2006-02-24,88.64167785644531,55.63999938964844,52.43144989013672,18.582592010498047
2006-02-27,88.67594909667969,55.220001220703125,52.32174301147461,18.217914581298828
2006-02-28,87.83341979980469,56.06999969482422,52.43144989013672,18.463672637939453
2006-03-01,88.61425018310547,56.099998474121094,52.43301773071289,18.42403793334961
